i,megaflow_entries,,AVG,STDEV
1,6,,7.09,0.933062731334856
2,7,,,
3,8,,,
4,7,,,
5,8,,,
6,6,,,
7,7,,,
8,7,,,
9,8,,,
10,7,,,
11,7,,,
12,9,,,
13,7,,,
14,7,,,
15,7,,,
16,7,,,
17,6,,,
18,7,,,
19,8,,,
20,7,,,
21,6,,,
22,7,,,
23,6,,,
24,8,,,
25,8,,,
26,7,,,
27,8,,,
28,6,,,
29,6,,,
30,8,,,
31,5,,,
32,7,,,
33,8,,,
34,7,,,
35,9,,,
36,9,,,
37,7,,,
38,7,,,
39,7,,,
40,5,,,
41,8,,,
42,7,,,
43,8,,,
44,7,,,
45,6,,,
46,8,,,
47,7,,,
48,8,,,
49,9,,,
50,7,,,
51,9,,,
52,7,,,
53,6,,,
54,7,,,
55,8,,,
56,6,,,
57,6,,,
58,6,,,
59,8,,,
60,6,,,
61,8,,,
62,7,,,
63,5,,,
64,5,,,
65,7,,,
66,9,,,
67,9,,,
68,7,,,
69,8,,,
70,6,,,
71,7,,,
72,6,,,
73,7,,,
74,7,,,
75,6,,,
76,7,,,
77,8,,,
78,7,,,
79,7,,,
80,7,,,
81,8,,,
82,6,,,
83,7,,,
84,7,,,
85,8,,,
86,7,,,
87,7,,,
88,7,,,
89,7,,,
90,6,,,
91,7,,,
92,7,,,
93,8,,,
94,8,,,
95,6,,,
96,7,,,
97,7,,,
98,6,,,
99,8,,,
100,7,,,
