i, megaflow_entries
1, 13
2, 13
3, 16
4, 14
5, 12
6, 12
7, 13
8, 14
9, 13
10, 15
11, 13
12, 12
13, 13
14, 13
15, 12
16, 13
17, 11
18, 13
19, 12
20, 13
21, 14
22, 13
23, 13
24, 12
25, 13
26, 15
27, 13
28, 13
29, 13
30, 14
31, 10
32, 13
33, 12
34, 12
35, 13
36, 12
37, 12
38, 11
39, 15
40, 13
41, 13
42, 12
43, 11
44, 11
45, 12
46, 13
47, 14
48, 11
49, 11
50, 12
51, 13
52, 11
53, 11
54, 14
55, 14
56, 15
57, 11
58, 14
59, 13
60, 13
61, 12
62, 10
63, 12
64, 12
65, 12
66, 12
67, 14
68, 13
69, 12
70, 14
71, 14
72, 13
73, 12
74, 11
75, 13
76, 11
77, 12
78, 13
79, 12
80, 13
81, 12
82, 14
83, 12
84, 12
85, 12
86, 13
87, 13
88, 13
89, 13
90, 12
91, 13
92, 12
93, 11
94, 13
95, 12
96, 13
97, 13
98, 13
99, 14
100, 14
