i, megaflow_entries
1, 7
2, 6
3, 6
4, 7
5, 7
6, 6
7, 5
8, 7
9, 8
10, 7
11, 6
12, 7
13, 8
14, 5
15, 6
16, 7
17, 7
18, 5
19, 7
20, 7
21, 8
22, 7
23, 5
24, 7
25, 6
26, 4
27, 7
28, 8
29, 6
30, 8
31, 5
32, 9
33, 9
34, 6
35, 7
36, 7
37, 7
38, 5
39, 5
40, 7
41, 4
42, 5
43, 10
44, 6
45, 8
46, 4
47, 6
48, 6
49, 7
50, 6
51, 6
52, 8
53, 8
54, 6
55, 8
56, 7
57, 9
58, 7
59, 7
60, 10
61, 5
62, 6
63, 7
64, 7
65, 5
66, 5
67, 8
68, 7
69, 5
70, 7
71, 7
72, 7
73, 9
74, 8
75, 8
76, 6
77, 7
78, 7
79, 4
80, 8
81, 6
82, 7
83, 7
84, 6
85, 7
86, 7
87, 6
88, 6
89, 6
90, 4
91, 3
92, 7
93, 8
94, 5
95, 6
96, 7
97, 7
98, 6
99, 10
100, 6
