i,megaflow_entries,,AVG,STDEV
1,19,,16.53,2.35039218734734
2,13,,,
3,17,,,
4,12,,,
5,19,,,
6,16,,,
7,15,,,
8,13,,,
9,20,,,
10,20,,,
11,22,,,
12,14,,,
13,17,,,
14,17,,,
15,14,,,
16,13,,,
17,19,,,
18,16,,,
19,22,,,
20,16,,,
21,16,,,
22,13,,,
23,17,,,
24,14,,,
25,18,,,
26,14,,,
27,18,,,
28,15,,,
29,17,,,
30,16,,,
31,12,,,
32,18,,,
33,17,,,
34,18,,,
35,19,,,
36,16,,,
37,22,,,
38,14,,,
39,16,,,
40,14,,,
41,17,,,
42,15,,,
43,17,,,
44,18,,,
45,18,,,
46,15,,,
47,16,,,
48,11,,,
49,17,,,
50,17,,,
51,15,,,
52,20,,,
53,15,,,
54,17,,,
55,16,,,
56,19,,,
57,20,,,
58,13,,,
59,17,,,
60,16,,,
61,15,,,
62,16,,,
63,19,,,
64,18,,,
65,19,,,
66,17,,,
67,18,,,
68,17,,,
69,19,,,
70,18,,,
71,15,,,
72,17,,,
73,14,,,
74,22,,,
75,15,,,
76,18,,,
77,14,,,
78,15,,,
79,19,,,
80,21,,,
81,16,,,
82,20,,,
83,15,,,
84,14,,,
85,14,,,
86,15,,,
87,17,,,
88,12,,,
89,15,,,
90,19,,,
91,17,,,
92,15,,,
93,16,,,
94,17,,,
95,16,,,
96,16,,,
97,16,,,
98,17,,,
99,15,,,
100,18,,,
