i,megaflow_entries,AVG,STDEV
1,123,122.07,3.24816964775642
2,120,,
3,118,,
4,126,,
5,122,,
6,120,,
7,124,,
8,126,,
9,124,,
10,123,,
11,120,,
12,119,,
13,122,,
14,120,,
15,123,,
16,118,,
17,127,,
18,119,,
19,116,,
20,128,,
21,115,,
22,115,,
23,125,,
24,125,,
25,125,,
26,119,,
27,118,,
28,122,,
29,117,,
30,123,,
31,123,,
32,124,,
33,121,,
34,120,,
35,123,,
36,126,,
37,126,,
38,121,,
39,121,,
40,119,,
41,115,,
42,124,,
43,123,,
44,122,,
45,122,,
46,122,,
47,119,,
48,127,,
49,121,,
50,125,,
51,125,,
52,123,,
53,123,,
54,124,,
55,119,,
56,123,,
57,120,,
58,117,,
59,125,,
60,122,,
61,122,,
62,126,,
63,122,,
64,123,,
65,123,,
66,120,,
67,127,,
68,125,,
69,125,,
70,125,,
71,125,,
72,129,,
73,115,,
74,123,,
75,120,,
76,122,,
77,117,,
78,120,,
79,125,,
80,122,,
81,119,,
82,125,,
83,123,,
84,123,,
85,119,,
86,123,,
87,120,,
88,116,,
89,125,,
90,120,,
91,126,,
92,124,,
93,124,,
94,126,,
95,120,,
96,120,,
97,120,,
98,120,,
99,131,,
100,120,,
