i,megaflow_entries,,AVG,STDEV
1,150,,151.27,5.98964594828931
2,151,,,
3,151,,,
4,151,,,
5,156,,,
6,148,,,
7,152,,,
8,154,,,
9,152,,,
10,144,,,
11,158,,,
12,153,,,
13,148,,,
14,156,,,
15,142,,,
16,147,,,
17,164,,,
18,163,,,
19,159,,,
20,163,,,
21,151,,,
22,153,,,
23,149,,,
24,157,,,
25,153,,,
26,156,,,
27,151,,,
28,159,,,
29,153,,,
30,147,,,
31,158,,,
32,147,,,
33,153,,,
34,145,,,
35,147,,,
36,147,,,
37,154,,,
38,159,,,
39,150,,,
40,152,,,
41,155,,,
42,155,,,
43,150,,,
44,143,,,
45,145,,,
46,145,,,
47,142,,,
48,150,,,
49,144,,,
50,149,,,
51,146,,,
52,144,,,
53,150,,,
54,145,,,
55,162,,,
56,137,,,
57,152,,,
58,151,,,
59,165,,,
60,150,,,
61,146,,,
62,152,,,
63,156,,,
64,154,,,
65,157,,,
66,155,,,
67,148,,,
68,147,,,
69,152,,,
70,163,,,
71,154,,,
72,145,,,
73,145,,,
74,156,,,
75,154,,,
76,147,,,
77,159,,,
78,148,,,
79,154,,,
80,149,,,
81,142,,,
82,156,,,
83,149,,,
84,155,,,
85,159,,,
86,151,,,
87,144,,,
88,161,,,
89,137,,,
90,147,,,
91,155,,,
92,142,,,
93,153,,,
94,153,,,
95,142,,,
96,158,,,
97,142,,,
98,145,,,
99,154,,,
100,158,,,
