i,megaflow_entries,,AVG,STDEV
1,44,,49.26,3.01384012901022
2,49,,,
3,52,,,
4,48,,,
5,43,,,
6,53,,,
7,50,,,
8,54,,,
9,44,,,
10,50,,,
11,52,,,
12,53,,,
13,52,,,
14,48,,,
15,52,,,
16,48,,,
17,45,,,
18,56,,,
19,50,,,
20,50,,,
21,45,,,
22,52,,,
23,54,,,
24,49,,,
25,48,,,
26,55,,,
27,52,,,
28,46,,,
29,51,,,
30,56,,,
31,46,,,
32,46,,,
33,45,,,
34,51,,,
35,52,,,
36,46,,,
37,50,,,
38,48,,,
39,48,,,
40,48,,,
41,50,,,
42,50,,,
43,47,,,
44,53,,,
45,47,,,
46,43,,,
47,51,,,
48,52,,,
49,43,,,
50,51,,,
51,55,,,
52,50,,,
53,49,,,
54,48,,,
55,52,,,
56,54,,,
57,48,,,
58,53,,,
59,47,,,
60,49,,,
61,48,,,
62,48,,,
63,48,,,
64,51,,,
65,49,,,
66,47,,,
67,47,,,
68,53,,,
69,50,,,
70,47,,,
71,46,,,
72,45,,,
73,46,,,
74,51,,,
75,46,,,
76,48,,,
77,52,,,
78,51,,,
79,46,,,
80,49,,,
81,51,,,
82,51,,,
83,49,,,
84,51,,,
85,52,,,
86,50,,,
87,54,,,
88,50,,,
89,48,,,
90,44,,,
91,48,,,
92,46,,,
93,50,,,
94,51,,,
95,49,,,
96,51,,,
97,49,,,
98,47,,,
99,50,,,
100,44,,,
