i, megaflow_entries
1, 85
2, 89
3, 89
4, 89
5, 84
6, 82
7, 93
8, 81
9, 92
10, 86
11, 89
12, 86
13, 81
14, 84
15, 86
16, 95
17, 90
18, 87
19, 85
20, 86
21, 90
22, 85
23, 81
24, 84
25, 90
26, 84
27, 92
28, 89
29, 88
30, 86
31, 88
32, 89
33, 92
34, 87
35, 89
36, 84
37, 84
38, 90
39, 82
40, 85
41, 88
42, 85
43, 90
44, 94
45, 91
46, 89
47, 86
48, 85
49, 89
50, 86
51, 88
52, 81
53, 86
54, 86
55, 87
56, 88
57, 91
58, 80
59, 91
60, 87
61, 91
62, 91
63, 91
64, 86
65, 80
66, 85
67, 89
68, 83
69, 85
70, 93
71, 91
72, 88
73, 83
74, 88
75, 83
76, 91
77, 86
78, 83
79, 84
80, 87
81, 90
82, 88
83, 89
84, 92
85, 94
86, 89
87, 91
88, 84
89, 82
90, 87
91, 92
92, 81
93, 86
94, 93
95, 86
96, 88
97, 90
98, 88
99, 88
100, 87
